,0,7,14,21
"at_cell_with_value(V, C)",0.5,0.289373017,0.31999482,0.320055325
at_action_cell(C),0.5,0.710626983,0.68000518,0.679944675
"shifted(O,B)",0.5,0.515774688,0.515815762,0.515815876
B,0.5,0.484225312,0.484184238,0.484184124
cell_is_value(V),0.5,1,1,1
"scanning(O,C,C)",0.5,0,0,0
"(N, 0)",0.125,0.125,0.125,0.125
"(0, N)",0.125,0.125,0.125,0.125
"(-N, 0)",0.125,0.125,0.125,0.125
"(0, -N)",0.125,0.125,0.125,0.125
"(N, N)",0.125,0.125,0.125,0.125
"(-N, N)",0.125,0.125,0.125,0.125
"(N, -N)",0.125,0.125,0.125,0.125
"(-N, -N)",0.125,0.125,0.125,0.125
1,0.99,0.99,0.99,0.99
N,0.01,0.01,0.01,0.01
-1,0.99,0.99,0.99,0.99
-N,0.01,0.01,0.01,0.01
ec.EMPTY,0.1,0.1,0.1,0.1
ec.TARGET,0.1,0.1,0.1,0.1
ec.AGENT,0.1,0.1,0.1,0.1
ec.WALL,0.1,0.1,0.1,0.1
ec.DRAWN,0.1,0.1,0.1,0.1
ec.LEFT_ARROW,0.1,0.1,0.1,0.1
ec.RIGHT_ARROW,0.1,0.1,0.1,0.1
ec.UP_ARROW,0.1,0.1,0.1,0.1
ec.DOWN_ARROW,0.1,0.1,0.1,0.1
None,0.1,0.1,0.1,0.1
