,0,7,14,21
"at_cell_with_value(V, C)",0.5,0.196802784,0.191000351,0.19047619
at_action_cell(C),0.5,0.803197216,0.808999649,0.80952381
"shifted(O,B)",0.5,0.52,0.52,0.52
B,0.5,0.48,0.48,0.48
cell_is_value(V),0.5,0.92,0.92,0.92
"scanning(O,C,C)",0.5,0.08,0.08,0.08
"(N, 0)",0.125,0.125,0.125,0.125
"(0, N)",0.125,0.125,0.125,0.125
"(-N, 0)",0.125,0.125,0.125,0.125
"(0, -N)",0.125,0.125,0.125,0.125
"(N, N)",0.125,0.125,0.125,0.125
"(-N, N)",0.125,0.125,0.125,0.125
"(N, -N)",0.125,0.125,0.125,0.125
"(-N, -N)",0.125,0.125,0.125,0.125
1,0.99,0.99,0.99,0.99
N,0.01,0.01,0.01,0.01
-1,0.99,1,1,1
-N,0.01,0,0,0
stf.EMPTY,0.142857143,0.142857143,0.142857143,0.142857143
stf.FALLING,0.142857143,0.142857143,0.142857143,0.142857143
stf.RED,0.142857143,0.142857143,0.142857143,0.142857143
stf.STATIC,0.142857143,0.142857143,0.142857143,0.142857143
stf.ADVANCE,0.142857143,0.142857143,0.142857143,0.142857143
stf.DRAWN,0.142857143,0.142857143,0.142857143,0.142857143
None,0.142857143,0.142857143,0.142857143,0.142857143
