,0,7,14,21
"at_cell_with_value(V, C)",0.5,0,0,0
at_action_cell(C),0.5,1,1,1
"shifted(O,B)",0.5,0.714285722,0.666945385,0.666667904
B,0.5,0.285714278,0.333054615,0.333332096
cell_is_value(V),0.5,1,1,1
"scanning(O,C,C)",0.5,0,0,0
"(N, 0)",0.125,0,0,0
"(0, N)",0.125,0.2,0.249326424,0.249326424
"(-N, 0)",0.125,0,0,0
"(0, -N)",0.125,0.4,0.498652848,0.498652848
"(N, N)",0.125,0.2,0.249326424,0.249326424
"(-N, N)",0.125,0,0,0
"(N, -N)",0.125,0.2,0.002694303,0.002694303
"(-N, -N)",0.125,0,0,0
1,0.99,1,1,1
N,0.01,0,0,0
-1,0.99,1,1,1
-N,0.01,0,0,0
tpn.EMPTY,0.333333333,0.753246753,0.9458544,0.995158065
tpn.TOKEN,0.333333333,0.246753247,0.0541456,0.004841935
None,0.333333333,0,0,0
